Date,Date Value,"Off day=1, Work=0",Days 1-7 (sun-sat) ,Hours,SYS Price in d,Volume in d,Avg Price d,Avg Load d,Wind Volume,Monthly Delta % change in wages ,"Capacity on transmission lines, MWh/h","Total congestion income on international connections, EUR per hour",Gas differenced
5/12/2014,41771,0.00,2.00,0.00,25.05,31168.90,32.66,907287.70,751.00,0.0297,680.00,5209.60,-0.07
5/12/2014,41771,0.00,2.00,1.00,24.93,30603.00,32.66,907287.70,714.00,0.0297,680.00,4965.40,-0.07
5/12/2014,41771,0.00,2.00,2.00,24.80,30218.00,32.66,907287.70,682.00,0.0297,680.00,5135.60,-0.07
5/12/2014,41771,0.00,2.00,3.00,24.84,30341.50,32.66,907287.70,649.00,0.0297,680.00,5194.80,-0.07
5/12/2014,41771,0.00,2.00,4.00,25.28,30931.60,32.66,907287.70,604.00,0.0297,680.00,5416.80,-0.07
5/12/2014,41771,0.00,2.00,5.00,26.96,32889.80,32.66,907287.70,562.00,0.0297,680.00,3973.80,-0.07
5/12/2014,41771,0.00,2.00,6.00,33.17,37184.50,32.66,907287.70,516.00,0.0297,680.00,6919.00,-0.07
5/12/2014,41771,0.00,2.00,7.00,38.34,41493.30,32.66,907287.70,472.00,0.0297,680.00,7466.60,-0.07
5/12/2014,41771,0.00,2.00,8.00,39.99,42611.90,32.66,907287.70,461.00,0.0297,680.00,11396.00,-0.07
5/12/2014,41771,0.00,2.00,9.00,40.13,42723.90,32.66,907287.70,432.00,0.0297,680.00,15791.60,-0.07
5/12/2014,41771,0.00,2.00,10.00,39.97,42693.90,32.66,907287.70,417.00,0.0297,680.00,18788.60,-0.07
5/12/2014,41771,0.00,2.00,11.00,38.30,42323.40,32.66,907287.70,423.00,0.0297,680.00,15547.40,-0.07
5/12/2014,41771,0.00,2.00,12.00,36.98,42101.40,32.66,907287.70,473.00,0.0297,680.00,21748.60,-0.07
5/12/2014,41771,0.00,2.00,13.00,35.87,41384.80,32.66,907287.70,515.00,0.0297,680.00,19506.40,-0.07
5/12/2014,41771,0.00,2.00,14.00,33.88,41041.70,32.66,907287.70,530.00,0.0297,680.00,18181.80,-0.07
5/12/2014,41771,0.00,2.00,15.00,33.38,40522.70,32.66,907287.70,549.00,0.0297,680.00,15295.80,-0.07
5/12/2014,41771,0.00,2.00,16.00,32.52,39944.50,32.66,907287.70,519.00,0.0297,680.00,11558.80,-0.07
5/12/2014,41771,0.00,2.00,17.00,33.24,39923.10,32.66,907287.70,484.00,0.0297,680.00,11928.80,-0.07
5/12/2014,41771,0.00,2.00,18.00,33.12,39465.10,32.66,907287.70,393.00,0.0297,680.00,3211.60,-0.07
5/12/2014,41771,0.00,2.00,19.00,32.86,38962.00,32.66,907287.70,341.00,0.0297,680.00,0.00,-0.07
5/12/2014,41771,0.00,2.00,20.00,33.08,38714.60,32.66,907287.70,341.00,0.0297,680.00,0.00,-0.07
5/12/2014,41771,0.00,2.00,21.00,33.80,38446.20,32.66,907287.70,338.00,0.0297,680.00,0.00,-0.07
5/12/2014,41771,0.00,2.00,22.00,33.04,36995.30,32.66,907287.70,348.00,0.0297,680.00,0.00,-0.07
5/12/2014,41771,0.00,2.00,23.00,30.42,34602.60,32.09,902976.30,365.00,0.0297,680.00,458.80,-0.05
5/13/2014,41772,0.00,3.00,0.00,27.24,32014.70,32.09,902976.30,364.00,0.0297,680.00,2723.20,-0.05
5/13/2014,41772,0.00,3.00,1.00,26.52,31268.10,32.09,902976.30,359.00,0.0297,680.00,1591.00,-0.05
5/13/2014,41772,0.00,3.00,2.00,26.21,30946.20,32.09,902976.30,355.00,0.0297,680.00,1938.80,-0.05
5/13/2014,41772,0.00,3.00,3.00,25.95,30919.30,32.09,902976.30,368.00,0.0297,680.00,3011.80,-0.05
5/13/2014,41772,0.00,3.00,4.00,26.47,31244.40,32.09,902976.30,387.00,0.0297,680.00,2360.60,-0.05
5/13/2014,41772,0.00,3.00,5.00,28.45,33008.70,32.09,902976.30,405.00,0.0297,680.00,3145.00,-0.05
5/13/2014,41772,0.00,3.00,6.00,32.86,36679.10,32.09,902976.30,414.00,0.0297,680.00,199.80,-0.05
5/13/2014,41772,0.00,3.00,7.00,36.48,41328.20,32.09,902976.30,427.00,0.0297,680.00,0.00,-0.05
5/13/2014,41772,0.00,3.00,8.00,40.26,42073.80,32.09,902976.30,436.00,0.0297,680.00,0.00,-0.05
5/13/2014,41772,0.00,3.00,9.00,39.22,42047.30,32.09,902976.30,459.00,0.0297,680.00,0.00,-0.05
5/13/2014,41772,0.00,3.00,10.00,37.50,41642.70,32.09,902976.30,468.00,0.0297,680.00,8450.80,-0.05
5/13/2014,41772,0.00,3.00,11.00,36.59,41527.40,32.09,902976.30,509.00,0.0297,680.00,14171.00,-0.05
5/13/2014,41772,0.00,3.00,12.00,36.00,41329.60,32.09,902976.30,542.00,0.0297,680.00,10145.40,-0.05
5/13/2014,41772,0.00,3.00,13.00,34.11,40703.40,32.09,902976.30,590.00,0.0297,680.00,6830.20,-0.05
5/13/2014,41772,0.00,3.00,14.00,33.06,40196.10,32.09,902976.30,645.00,0.0297,680.00,3981.20,-0.05
5/13/2014,41772,0.00,3.00,15.00,31.63,39613.60,32.09,902976.30,690.00,0.0297,680.00,4588.00,-0.05
5/13/2014,41772,0.00,3.00,16.00,31.04,39194.30,32.09,902976.30,728.00,0.0297,680.00,5535.20,-0.05
5/13/2014,41772,0.00,3.00,17.00,31.43,39177.90,32.09,902976.30,735.00,0.0297,680.00,3996.00,-0.05
5/13/2014,41772,0.00,3.00,18.00,31.85,39283.80,32.09,902976.30,745.00,0.0297,680.00,3374.40,-0.05
5/13/2014,41772,0.00,3.00,19.00,31.94,39134.60,32.09,902976.30,731.00,0.0297,680.00,0.00,-0.05
5/13/2014,41772,0.00,3.00,20.00,31.45,38619.40,32.09,902976.30,782.00,0.0297,680.00,0.00,-0.05
5/13/2014,41772,0.00,3.00,21.00,31.95,38732.80,32.09,902976.30,853.00,0.0297,680.00,0.00,-0.05
5/13/2014,41772,0.00,3.00,22.00,32.32,37272.40,32.09,902976.30,921.00,0.0297,680.00,0.00,-0.05
5/13/2014,41772,0.00,3.00,23.00,29.58,35018.50,31.72,900814.90,960.00,0.0297,680.00,777.00,0.00
5/14/2014,41773,0.00,4.00,0.00,25.70,31466.10,31.72,900814.90,999.00,0.0297,680.00,4713.80,0.00
5/14/2014,41773,0.00,4.00,1.00,25.45,30704.30,31.72,900814.90,1035.00,0.0297,680.00,4943.20,0.00
5/14/2014,41773,0.00,4.00,2.00,25.34,30420.90,31.72,900814.90,1095.00,0.0297,680.00,5091.20,0.00
5/14/2014,41773,0.00,4.00,3.00,25.27,30089.00,31.72,900814.90,1109.00,0.0297,680.00,7133.60,0.00
5/14/2014,41773,0.00,4.00,4.00,25.56,30151.80,31.72,900814.90,1090.00,0.0297,680.00,6697.00,0.00
5/14/2014,41773,0.00,4.00,5.00,27.46,32443.30,31.72,900814.90,1047.00,0.0297,680.00,7799.60,0.00
5/14/2014,41773,0.00,4.00,6.00,31.22,36672.00,31.72,900814.90,945.00,0.0297,680.00,8613.60,0.00
5/14/2014,41773,0.00,4.00,7.00,35.02,40812.40,31.72,900814.90,860.00,0.0297,680.00,4218.00,0.00
5/14/2014,41773,0.00,4.00,8.00,37.48,41781.10,31.72,900814.90,741.00,0.0297,680.00,8724.60,0.00
5/14/2014,41773,0.00,4.00,9.00,36.99,41577.80,31.72,900814.90,674.00,0.0297,680.00,17034.80,0.00
5/14/2014,41773,0.00,4.00,10.00,36.82,41472.90,31.72,900814.90,601.00,0.0297,680.00,21793.00,0.00
5/14/2014,41773,0.00,4.00,11.00,34.98,41332.10,31.72,900814.90,569.00,0.0297,680.00,25522.60,0.00
5/14/2014,41773,0.00,4.00,12.00,35.28,41436.90,31.72,900814.90,547.00,0.0297,680.00,23487.60,0.00
5/14/2014,41773,0.00,4.00,13.00,34.15,40890.60,31.72,900814.90,541.00,0.0297,680.00,14430.00,0.00
5/14/2014,41773,0.00,4.00,14.00,33.59,40474.10,31.72,900814.90,514.00,0.0297,680.00,14015.60,0.00
5/14/2014,41773,0.00,4.00,15.00,32.96,40058.60,31.72,900814.90,520.00,0.0297,680.00,14097.00,0.00
5/14/2014,41773,0.00,4.00,16.00,32.65,39598.30,31.72,900814.90,517.00,0.0297,680.00,10870.60,0.00
5/14/2014,41773,0.00,4.00,17.00,31.30,39573.80,31.72,900814.90,483.00,0.0297,680.00,4580.60,0.00
5/14/2014,41773,0.00,4.00,18.00,32.83,39495.70,31.72,900814.90,471.00,0.0297,680.00,1450.40,0.00
5/14/2014,41773,0.00,4.00,19.00,32.53,39159.40,31.72,900814.90,439.00,0.0297,680.00,0.00,0.00
5/14/2014,41773,0.00,4.00,20.00,32.83,39093.70,31.72,900814.90,434.00,0.0297,680.00,0.00,0.00
5/14/2014,41773,0.00,4.00,21.00,33.16,39149.90,31.72,900814.90,446.00,0.0297,680.00,0.00,0.00
5/14/2014,41773,0.00,4.00,22.00,33.05,37853.60,31.72,900814.90,460.00,0.0297,680.00,0.00,0.00
5/14/2014,41773,0.00,4.00,23.00,29.57,35106.60,30.95,919355.60,484.00,0.0297,680.00,1583.60,-0.05
5/15/2014,41774,0.00,5.00,0.00,25.07,32556.00,30.95,919355.60,466.00,0.0297,680.00,0.00,-0.05
5/15/2014,41774,0.00,5.00,1.00,24.68,31904.40,30.95,919355.60,513.00,0.0297,680.00,214.60,-0.05
5/15/2014,41774,0.00,5.00,2.00,24.03,31817.10,30.95,919355.60,518.00,0.0297,680.00,1043.40,-0.05
5/15/2014,41774,0.00,5.00,3.00,23.96,31855.10,30.95,919355.60,480.00,0.0297,680.00,2035.00,-0.05
5/15/2014,41774,0.00,5.00,4.00,24.57,32016.50,30.95,919355.60,445.00,0.0297,680.00,1287.60,-0.05
5/15/2014,41774,0.00,5.00,5.00,27.09,33471.40,30.95,919355.60,396.00,0.0297,680.00,562.40,-0.05
5/15/2014,41774,0.00,5.00,6.00,32.66,38066.00,30.95,919355.60,311.00,0.0297,680.00,0.00,-0.05
5/15/2014,41774,0.00,5.00,7.00,35.17,42096.60,30.95,919355.60,225.00,0.0297,680.00,858.40,-0.05
5/15/2014,41774,0.00,5.00,8.00,39.88,42834.70,30.95,919355.60,176.00,0.0297,680.00,769.60,-0.05
5/15/2014,41774,0.00,5.00,9.00,36.77,42667.80,30.95,919355.60,170.00,0.0297,680.00,939.80,-0.05
5/15/2014,41774,0.00,5.00,10.00,36.00,42541.80,30.95,919355.60,199.00,0.0297,680.00,0.00,-0.05
5/15/2014,41774,0.00,5.00,11.00,34.06,42239.60,30.95,919355.60,259.00,0.0297,680.00,1524.40,-0.05
